date,state,population,new_infected_mean,perc_current_infected_mean,perc_total_infected_mean,total_cases,total_deaths
2020-07-26,ME,1344212,30.068742917436555,0.0004999448345172375,0.011926390788305614,3814,119
2020-07-27,ME,1344212,29.043628508240975,0.0004870161966105577,0.011947997222787854,3832,119
2020-07-28,ME,1344212,28.879758662953414,0.00047350176106754805,0.01196948174953137,3838,121
2020-07-29,ME,1344212,30.31593532882948,0.00045964306643514865,0.011992034691573868,3866,121
2020-07-30,ME,1344212,32.4370986824587,0.00044721022791166705,0.012016165631248903,3888,122
2020-07-31,ME,1344212,35.9869691516503,0.0004367118697104055,0.012042937427030855,3912,123
2020-08-01,ME,1344212,40.55102288079247,0.0004288978699912277,0.012073104560549075,3937,123
2020-08-02,ME,1344212,45.161427784593045,0.0004236306182369366,0.012106701513845573,3958,123
2020-08-03,ME,1344212,49.07427022557214,0.0004219968326928046,0.012143209349087017,3970,124
2020-08-04,ME,1344212,52.80653159902973,0.00042488987636651166,0.012182493726550565,3975,123
2020-08-05,ME,1344212,55.7273636400408,0.0004321871755066523,0.012223950999391487,3992,124
2020-08-06,ME,1344212,57.85469569024464,0.0004434796001565082,0.012266990858945075,3997,124
2020-08-07,ME,1344212,58.34560864781757,0.00045760506549546607,0.01231039592350916,4014,124
2020-08-08,ME,1344212,57.788943600781444,0.0004737225532464281,0.012353386868092888,4026,125
2020-08-09,ME,1344212,57.02605886381726,0.0004917885394448633,0.01239581027962605,4042,125
2020-08-10,ME,1344212,56.53395529072592,0.0005114768121081704,0.012437867600413786,4049,125
2020-08-11,ME,1344212,55.193237592916866,0.0005309302979308501,0.012478927520718707,4050,126
2020-08-12,ME,1344212,54.84925952923199,0.0005502497957974652,0.012519731545328839,4070,126
2020-08-13,ME,1344212,55.133127226745614,0.0005687120561387776,0.012560746747712648,4089,126
2020-08-14,ME,1344212,55.510097227036105,0.0005858767582427443,0.012602042389491652,4115,126
2020-08-15,ME,1344212,56.573291896088016,0.000601191546940091,0.012644128973970952,4144,127
2020-08-16,ME,1344212,57.58707396830306,0.0006138651810748188,0.012686969741623897,4168,127
2020-08-17,ME,1344212,59.51906532676207,0.0006245462622898123,0.01273124777613539,4197,127
2020-08-18,ME,1344212,61.64148729106286,0.0006338953955109789,0.012777104744598002,4213,127
2020-08-19,ME,1344212,61.730908366186306,0.0006405345095548623,0.012823028236105432,4234,127
